doc_id,pet,species,age,clinic,archetype,tier,starts_on,highest_value_touch,do_not_send,flags,q1a_target
dl:MRS-(1),Quorra2,feline,6y,Frisco TX,insufficient data,T0,"patient on file + no encounter","full journey built, the empty-record worked example (journeys/quorra2.html)","any clinical claim","",yes
dl:MRS,Quorra2,feline,6y,Frisco TX,duplicate,,"n/a","same one-page record as dl:MRS-(1), exported twice, identical except doc_id line; one patient PT-D70372","","export duplicate",no
z1:MRS-15,Cazzy,feline,2.6y,,insufficient data,T0,"patient on file + no encounter","re-engage: on file never seen, invite for a first exam, list what we would pull from Vetspire","any clinical claim; any vaccine or wellness due line","",no
z1:MRS-16,Sindri,feline,1y,,insufficient data,T0,"patient on file + no encounter","re-engage template PLUS flag for a human: a Sindri is named as Pobble's (z2:MRS) housemate, anxious and on fluoxetine; coordinate if same household","any clinical claim; do not auto-merge households","household link (unverified)",no
z2:15MRS-15,Halva,canine,8mo,,insufficient data,T0,"patient on file + no encounter","re-engage: header shows intact female large-breed pup, invite naming the vaccine series and a spay conversation, nothing beyond the header","any finding not in the header","intact female, large breed",no
z1:MRS-24,Pengo2,canine,7mo,,insufficient data,T0,"patient on file + no encounter","re-engage: header shows intact male large-breed pup 80 lb, invite covering vaccine series, neuter timing, large-breed growth","any finding not in the header","intact male, large breed",no
z2:2-MRS-2,Quorra,canine,14y,Cypress TX,senior active workup + owner friction,T3,"support/med-update logged + appointment booked","full journey built: second-opinion consult on dental, vaccine-vs-titer standoff, new bronchitis (journeys/quorra.html)","vaccine marketing (owner declined); factual titer explainer only","consent decline (vaccines); new client; comparing clinics",yes
z1:MRS-33,Wibbly2,feline,~7wk,Fort Mill,paediatric series,T2->T1,"encounter completed: first kitten visit","finish the postponed kitten vaccine series + deworming recheck, then hand to the adult wellness spine at ~1y","","member",no
z1:MRS-39,Abbo3,canine,9wk,,paediatric series + parasite load,T2,"encounter completed + parasites positive","parasite recheck first (hookworm 170, coccidia, giardia, Malassezia ear 3+): follow-up fecal + ear recheck before the series closes; insurance-aware membership touch","","not a member; Trupanion insured",no
z2:26MRS-26,Moxo2,canine,6.7y,Oviedo,adult one active thread + surgical referral pending,T3,"condition diagnosed: hip dysplasia + OA + referral made","support the surgical-referral decision (cost, scheduling, recovery); Rimadyl adherence + weight; membership value framed around a large surgical spend","do not push the referral, support the decision","not a member",no
z1:MRS-48,Ulmo,canine,13.7y,Lake Buena Vista,complex or worrying (r/o lymphoma),T3,"condition diagnosed: generalised lymphadenopathy + sample collected: FNA","the FNA result and the path it opens is the whole journey; hold chronic pruritus/otitis; wait","all routine and marketing comms until the lymphoma question resolves","active workup; enrolled $199 plan",no
z2:29MRS-29,Bixby,canine,7.7y,Overland Park,adult with a stack of declined incidentals,T2,"encounter completed + multiple conditions noted + declined","re-raise ONE thing, highest stakes: skin nodules r/o MCT need an aspirate; then the suspected CCL tear; cost-tiered over months","do not re-raise all four incidentals at once","not a member; multiple declines",no
z2:23MRS-23,Grobble,feline,12wk,Peachtree Corners,paediatric series + behavioural,T2,"encounter completed + behavioural problem noted","inappropriate defecation is behavioural: a litter-box/environment plan + a recheck; kitten series alongside","no hard wellness-plan re-pitch (declined)","declined wellness plan",no
z2:22MRS-22,Vorpal,canine,7.1y,Pearland,adult multi-thread + vaccine reaction,T3,"adverse reaction recorded: lepto","the lepto reaction is the defining flag (facial swelling, hives): never auto-suggest lepto; the record's 'lepto booster follow-up Aug 7' contradicts the reaction and needs a vet to look before any reminder fires; then IVDD-suspect back pain (declined rads) and atopy","lepto permanently; hold the Aug 7 booster reminder for a human clinical check","consent decline (lepto); IVDD suspect; not a member",no
z1:MRS-38,Fizzo,canine,6.10y,,adult acute,T2,"encounter completed + cytology positive","ear recheck (cocci + yeast on cytology), confirm cleared; neck wound follow-up","","not a member; short record",no
z2:27MRS-27,Immo2,canine,7.7y,Oviedo,complex chronic + active 2-week recheck loop,T3,"condition on file + recheck cadence active","keep the two-week recheck cadence on track, coordinate a long med list; a pre-travel check-in (pet-sitter neglect during travel is a pattern); suppress marketing while the loop is active","all marketing during active recheck loops","active recheck loop; buys meds at human pharmacy (adherence unknown); owner travel; not a member",no
z1:MRS-51,Oppo2,feline,16wk,Lake Buena Vista,paediatric series complete + a monitored question,T2->T1,"series complete + symptom on watch","series is done; open item is intermittent hacking r/o asthma (chest rads declined $445): a symptom watch with 'call if it recurs' and a re-raise if it does","","member; housemate senior cat",no
dl:MRS-(4),Pengo3,canine,~10y,Charlotte,senior with stalled recommendations,T2,"estimate issued + not booked; diagnostics declined 3y running","close the stalled items one at a time: the Jul 2024 COHAT estimate never booked, and the senior blood panel declined 2022-2024; cost-framed, sequenced","do not stack all the overdue items into one message","member; husband over-treats (household dynamic); Q2 primary source (raw Braze API blocks)",no
z2:28MRS-28,Rylo,canine,3.2y,Oviedo,adult with an active GI workup + fully engaged owner,T3 (low friction),"labs pending + forward-booked visits","coordination not persuasion: the Texas A&M GI panel results, the Aug 10 and Aug 16 booked visits, and the fear-free face-handling protocol (oral surgery as a puppy left a face/mouth phobia, muzzled every exam)","no persuasion needed, this owner already says yes","high FAS (face handling); member + Trupanion; most engaged owner in the set",no
z1:MRS-32,Ikko2,canine,3.4y,San Antonio,complex acute crisis + moving away,T3 -> transfer of care,"acute crisis (obstruction + pancreatitis) + household relocation","now: the crisis outcome and follow-up; but the family moves to Missouri Aug 2026, so the real job is a clean transfer of records and continuity of the anxiety protocol and atopy plan to the new clinic","retention and marketing, this is a handoff not a save","acute crisis; relocation Aug 2026; high FAS (traz+gaba protocol); post-move atopy; member",no
z2:16MRS-16,Ikko3,feline,2.6y,Atlanta,healthy adult + recurring cluster + household change,T2,"encounter completed + problem-list cluster","full journey built: pica, hairballs, an unfinished loose-stool workup, early dental with deferred bloodwork, rising fear with an un-gettable sedation drug, a new puppy (journeys/ikko3.html)","marketing during active rechecks","high FAS; new puppy in household; member",yes
z1:MRS-45,Ikko,canine,7y,Huntersville,adult acute-turned-chronic + modifiable risk,T2->T3,"condition diagnosed: nail fracture + rx dispensed","full journey built: a toenail recheck that became a chronic bone fracture with amputation on the table, plus chronic atopy and a weight problem (journeys/ikko.html)","a weigh-in pitch while 'strict rest, no walks' is active","high FAS; active recheck loop; housemate dog Rico; member; insured (Odie)",yes
z2:MRS,Pobble,canine,8y,Wake Forest,"complex chronic, dental gated by anxiety",T3,"encounter completed + AVDC stage 3 + PABW booked","full journey built: feral rescue with a serotonin-syndrome history, atopy that beat Cytopoint, stage 3 periodontal disease with a blood draw booked, a soft cardiac finding (journeys/pobble.html)","fluoxetine + trazodone together ever; anxiety-med marketing","serotonin-syndrome history; high FAS; housemate dog Sindri (z1:MRS-16); member",yes
z1:MRS-18,Pengo,canine,~15y,East Cobb Marietta,"geriatric quality of life, financially limited",T3 (QoL),"geriatric + repeated cost declines","lowest-cost symptom management, a quality-of-life conversation, end-of-life planning framing; non-ambulatory episodes, dental grade 4, 20% weight loss with muscle wasting, no heartworm prevention","everything promotional: no 'time for a dental', no NPS survey, no wellness reminder, no upsell","financial constraint; geriatric; joined $199 plan to cover one exam; no HW prevention",no
z1:MRS-46,Innox,canine,2.4y,Kennesaw,healthy adult + proactive engaged owner,T2,"encounter completed + deferred bloodwork forward-booked","three to close: the deferred annual bloodwork (booked for October), the neuter conversation (intact at 2y, not discussed in the record), the insurance conversion ('No, but interested'); ear-maintenance plan alongside","","intact male at 2y; member; insurance-curious; breed-predisposed ears",no
